category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,91,June,2019,207152095,ERF 657 of DOORNFONTEIN,T0IR0186000000006570000000,Non Residential,55,BEIT STREET,DOORNFONTEIN,207152095,3002668160,63034350,KWH,2,36088,23692,0
LPU-Demand  | LV,92,June,2019,207171764,Portion 3 of ERF 491 of KEW,T0IR0361000000004910000300,Non Residential,100,TENTH ROAD,KEW,207171764,3003688246,63038251,KVA,1,289,54213,0
LPU-Demand  | LV,93,June,2019,207171764,Portion 3 of ERF 491 of KEW,T0IR0361000000004910000300,Non Residential,100,TENTH ROAD,KEW,207171764,3003688246,63038251,KWH,2,1166239,786809,0
LPU-Demand  | LV,94,June,2019,207171764,Portion 3 of ERF 491 of KEW,T0IR0361000000004910000300,Non Residential,100,TENTH ROAD,KEW,207171764,3003688246,63038251,KRH,3,160402,33130,0
LPU-Demand  | LV,95,June,2019,207183720,REM of ERF 11 of WAVERLEY,T0IR07120000000001100000RE,Non Residential,27,SCOTT STREET,WAVERLEY,207183720,3002877217,63034840,KVA,1,70,13104,0
LPU-Demand  | LV,96,June,2019,207183720,REM of ERF 11 of WAVERLEY,T0IR07120000000001100000RE,Non Residential,27,SCOTT STREET,WAVERLEY,207183720,3002877217,63034840,KWH,2,8847,5839,0
LPU-Demand  | LV,97,June,2019,207480709,ERF 4604 of JOHANNESBURG,T0IQ0183000000046040000000,Non Residential,56,VAN DER MERWE STREET,Hillbrow,207480709,3002652251,94965987,KVA,1,122,22988,0
LPU-Demand  | LV,98,June,2019,207480709,ERF 4604 of JOHANNESBURG,T0IQ0183000000046040000000,Non Residential,56,VAN DER MERWE STREET,Hillbrow,207480709,3002652251,94965987,KWH,2,85958,56431,0
LPU-Demand  | LV,99,June,2019,207549189,REM of ERF 236 of PARKTOWN,T0IR05020000000023600000RE,Non Residential,,,PARKTOWN,207549189,3002672292,80395531,KVA,1,162,30480,0
LPU-Demand  | LV,100,June,2019,207549189,REM of ERF 236 of PARKTOWN,T0IR05020000000023600000RE,Non Residential,,,PARKTOWN,207549189,3002672292,80395531,KWH,2,121260,79607,0
LPU-Demand  | LV,101,June,2019,207549757,ERF 238 of ROSEBANK,T0IR0574000000002380000000,Non Residential,25,BIERMAN AVENUE,ROSEBANK,207549757,3003459428,63033743,KVA,1,338,63274,0
LPU-Demand  | LV,102,June,2019,207549757,ERF 238 of ROSEBANK,T0IR0574000000002380000000,Non Residential,25,BIERMAN AVENUE,ROSEBANK,207549757,3003459428,63033743,KWH,2,254288,166940,0
LPU-Demand  | LV,103,June,2019,207575534,ERF 943 of PARKTOWN,T0IR0502000000009430000000,Non Residential,2,JUNCTION AVENUE,PARKTOWN,207575534,3003715504,63021492**,KVA,1,80,14976,0
LPU-Demand  | LV,104,June,2019,207575534,ERF 943 of PARKTOWN,T0IR0502000000009430000000,Non Residential,2,JUNCTION AVENUE,PARKTOWN,207575534,3003715504,63021492**,KWH,2,30918,20298,0
LPU-Demand  | LV,105,June,2019,207610450,ERF 5314 of JOHANNESBURG,T0IQ0183000000053140000000,Non Residential,36,RISSIK STREET,JOHANNESBURG,207610450,3003063546,63012249,KVA,1,70,13104,0
LPU-Demand  | LV,106,June,2019,207610450,ERF 5314 of JOHANNESBURG,T0IQ0183000000053140000000,Non Residential,36,RISSIK STREET,JOHANNESBURG,207610450,3003063546,63012249,KWH,2,26085,17216,0
LPU-Demand  | LV,107,June,2019,207629532,ERF 80 of ILLOVO,T0IR0326000000000800000000,Non Residential,12,FRICKER ROAD,ILLOVO,207629532,3002672926,63031597,KVA,1,206,38743,0
LPU-Demand  | LV,108,June,2019,207629532,ERF 80 of ILLOVO,T0IR0326000000000800000000,Non Residential,12,FRICKER ROAD,ILLOVO,207629532,3002672926,63031597,KWH,2,51438,33769,0
LPU-Demand  | LV,109,June,2019,206365598,ERF 345 of BRAMLEY,T0IR0099000000003450000000,PSI,87,EDEN ROAD,BRAMLEY,220000207,3002669870,63029718,KVA,1,159,29765,0
LPU-Demand  | LV,110,June,2019,206365598,ERF 345 of BRAMLEY,T0IR0099000000003450000000,PSI,87,EDEN ROAD,BRAMLEY,220000207,3002669870,63029718,KWH,2,186840,122660,0
LPU-Demand  | LV,111,June,2019,206365598,ERF 345 of BRAMLEY,T0IR0099000000003450000000,PSI,87,EDEN ROAD,BRAMLEY,220000207,3002669870,63029718,KRH,3,39168,7689,0
LPU-Demand  | LV,112,June,2019,206674941,ERF 347 of BRAMLEY,T0IR0099000000003470000000,Non Residential,600,LOUIS BOTHA AVENUE,BRAMLEY,220000221,3002676332,63022047,KVA,1,109,20527,0
LPU-Demand  | LV,113,June,2019,206674941,ERF 347 of BRAMLEY,T0IR0099000000003470000000,Non Residential,600,LOUIS BOTHA AVENUE,BRAMLEY,220000221,3002676332,63022047,KWH,2,72890,47852,0
