category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,756,May,2019,501351634,ERF 4800 of JOHANNESBURG,T0IQ0183000000048000000000,Non Residential,106,PRITCHARD STREET,JOHANNESBURG,220032544,3002670674,63029309,KWH,2,40366,26500,0
LPU-Demand  | LV,757,May,2019,501312466,ERF 128 of LAKE VIEW ESTATE,T0IR0380000000001280000000,Non Residential,29,ST GEORGE STREET,LAKE VIEW ESTATE,220032706,3002673768,98368194,KVA,1,70,13104,0
LPU-Demand  | LV,758,May,2019,501312466,ERF 128 of LAKE VIEW ESTATE,T0IR0380000000001280000000,Non Residential,29,ST GEORGE STREET,LAKE VIEW ESTATE,220032706,3002673768,98368194,KWH,2,55196,36236,0
LPU-Demand  | LV,759,May,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KVA,1,134,25199,0
LPU-Demand  | LV,760,May,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KWH,2,61348,40275,0
LPU-Demand  | LV,761,May,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KRH,3,7825,1536,0
LPU-Demand  | LV,762,May,2019,501389807,ERF 174 of OPHIRTON,T0IR0491000000001740000000,Non Residential,85,HAY STREET,OPHIRTON,220032872,3002667618,93750769,KWH,2,161084,105752,0
LPU-Demand  | LV,763,May,2019,501389807,ERF 174 of OPHIRTON,T0IR0491000000001740000000,Non Residential,85,HAY STREET,OPHIRTON,220032872,3002667618,93750769,KVA,1,365,68435,0
LPU-Demand  | LV,764,May,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KWH,2,1104000,724776,0
LPU-Demand  | LV,765,May,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KVA,1,1264,236621,0
LPU-Demand  | LV,766,May,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KRH,3,193400,37964,0
LPU-Demand  | LV,767,May,2019,501314872,ERF 387 of OPHIRTON,T0IR0491000000003870000000,Non Residential,69,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033072,3002676469,63055033,KWH,2,26342,17294,0
LPU-Demand  | LV,768,May,2019,501314872,ERF 387 of OPHIRTON,T0IR0491000000003870000000,Non Residential,69,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033072,3002676469,63055033,KVA,1,70,13104,0
LPU-Demand  | LV,769,May,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KVA,1,536,100339,0
LPU-Demand  | LV,770,May,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KWH,2,80732,53001,0
LPU-Demand  | LV,771,May,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KRH,3,21412,4203,0
LPU-Demand  | LV,772,May,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KVA,1,70,13104,0
LPU-Demand  | LV,773,May,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KRH,3,2359,463,0
LPU-Demand  | LV,774,May,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KWH,2,16340,10727,0
LPU-Demand  | LV,775,May,2019,501378731,Portion 3 of ERF 324 of RANDSKOU 324-IQ,T0IQ0000324000003240000300,PSI,,,NASREC,220033530,3002675367,95681053,KRH,3,562,110,0
LPU-Demand  | LV,776,May,2019,501378731,Portion 3 of ERF 324 of RANDSKOU 324-IQ,T0IQ0000324000003240000300,PSI,,,NASREC,220033530,3002675367,95681053,KVA,1,70,13104,0
LPU-Demand  | LV,777,May,2019,501378731,Portion 3 of ERF 324 of RANDSKOU 324-IQ,T0IQ0000324000003240000300,PSI,,,NASREC,220033530,3002675367,95681053,KWH,2,44606,29284,0
LPU-Demand  | LV,778,May,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KRH,3,9008,1768,0
LPU-Demand  | LV,779,May,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KVA,1,70,13104,0
LPU-Demand  | LV,780,May,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KWH,2,27178,17842,0
LPU-Demand  | LV,781,May,2019,502090632,Portion 1 of ERF 96 of BOOYSENS,T0IR0759000000000960000100,Non Residential,22,MENTZ STREET,BOOYSENS,220033668,3002671434,98371278,KVA,1,83,15697,0
LPU-Demand  | LV,782,May,2019,502090632,Portion 1 of ERF 96 of BOOYSENS,T0IR0759000000000960000100,Non Residential,22,MENTZ STREET,BOOYSENS,220033668,3002671434,98371278,KWH,2,40056,26297,0
LPU-Demand  | LV,783,May,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KWH,2,68644,45065,0
LPU-Demand  | LV,784,May,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KRH,3,12618,2477,0
LPU-Demand  | LV,785,May,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KVA,1,357,66868,0
LPU-Demand  | LV,786,May,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KRH,3,1838,361,0
LPU-Demand  | LV,787,May,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KVA,1,70,13104,0
LPU-Demand  | LV,788,May,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KWH,2,14298,9387,0
TOU | MV,789,May,2019,554729302,ERF 90 of BOOYSENS RESERVE,T0IR0089000000000900000000,Non Residential,83,FOURTH STREET,BOOYSENS RESERVE,220033869,3003088702,98370568,KVA,1,1704,298149,0
TOU | MV,790,May,2019,554729302,ERF 90 of BOOYSENS RESERVE,T0IR0089000000000900000000,Non Residential,83,FOURTH STREET,BOOYSENS RESERVE,220033869,3003088702,98370568,KWH,2,1572798,816767,0
LPU-Demand  | LV,791,May,2019,552335976,ERF 481 of BOOYSENS RESERVE,T0IR0089000000004810000000,Non Residential,35,THIRD STREET,Unknown,220033932,3003534661,63036107,KVA,1,70,13104,0
LPU-Demand  | LV,792,May,2019,552335976,ERF 481 of BOOYSENS RESERVE,T0IR0089000000004810000000,Non Residential,35,THIRD STREET,Unknown,220033932,3003534661,63036107,KWH,2,24642,16177,0
LPU-Demand  | LV,793,May,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KVA,1,70,13104,0
LPU-Demand  | LV,794,May,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KWH,2,5832,3829,0
LPU-Demand  | LV,795,May,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KRH,3,76,15,0
LPU-Demand  | LV,796,May,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KVA,1,70,13104,0
LPU-Demand  | LV,797,May,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KRH,3,21,4,0
LPU-Demand  | LV,798,May,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KWH,2,20190,13255,0
LPU-Demand  | LV,799,May,2019,502038762,ERF 282 of BOOYSENS RESERVE,T0IR0089000000002820000000,Non Residential,83,SECOND STREET,BOOYSENS RESERVE,220034132,3002668363,63035999,KVA,1,119,22314,0
LPU-Demand  | LV,800,May,2019,502038762,ERF 282 of BOOYSENS RESERVE,T0IR0089000000002820000000,Non Residential,83,SECOND STREET,BOOYSENS RESERVE,220034132,3002668363,63035999,KWH,2,37208,24427,0
LPU-Demand  | LV,801,May,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KVA,1,92,17241,0
LPU-Demand  | LV,802,May,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KWH,2,18770,12323,0
LPU-Demand  | LV,803,May,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KRH,3,6947,1364,0
LPU-Demand  | LV,804,May,2019,504708988,ERF 325 of BOOYSENS RESERVE,T0IR0089000000003250000000,Non Residential,50,SECOND STREET,BOOYSENS RESERVE,220034189,3002668398,63028854,KVA,1,100,18720,0
LPU-Demand  | LV,805,May,2019,504708988,ERF 325 of BOOYSENS RESERVE,T0IR0089000000003250000000,Non Residential,50,SECOND STREET,BOOYSENS RESERVE,220034189,3002668398,63028854,KWH,2,17122,11241,0
LPU-Demand  | LV,806,May,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KVA,1,102,19229,0
LPU-Demand  | LV,807,May,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KRH,3,1719,337,0
LPU-Demand  | LV,808,May,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KWH,2,8352,5483,0
LPU-Demand  | LV,809,May,2019,500099277,ERF 442 of BOOYSENS RESERVE,T0IR0089000000004420000000,Non Residential,101,FOURTH STREET,BOOYSENS RESERVE,220034277,3003327831,63054885,KVA,1,110,20702,0
LPU-Demand  | LV,810,May,2019,500099277,ERF 442 of BOOYSENS RESERVE,T0IR0089000000004420000000,Non Residential,101,FOURTH STREET,BOOYSENS RESERVE,220034277,3003327831,63054885,KWH,2,29180,19157,0
LPU-Demand  | LV,811,May,2019,505700572,ERF 26 of FRAMTON,T0IQ0131000000000260000000,Non Residential,92,FIRST STREET,BOOYSENS RESERVE,220034502,3002672223,83834731,KVA,1,880,164736,0
LPU-Demand  | LV,812,May,2019,503888022,ERF 830 of JOHANNESBURG,T0IQ0183000000008300000000,Non Residential,45,PRITCHARD STREET,JOHANNESBURG,220034679,3002667193,207701271,KWH,2,20482,13446,0
LPU-Demand  | LV,813,May,2019,503888022,ERF 830 of JOHANNESBURG,T0IQ0183000000008300000000,Non Residential,45,PRITCHARD STREET,JOHANNESBURG,220034679,3002667193,207701271,KVA,1,70,13104,0
LPU-Demand  | LV,814,May,2019,502075472,ERF 855 of JOHANNESBURG,T0IQ0183000000008550000000,Non Residential,50,JOUBERT STREET,JOHANNESBURG,220034703,3002667204,63029984,KWH,2,10516,6904,0
LPU-Demand  | LV,815,May,2019,502075472,ERF 855 of JOHANNESBURG,T0IQ0183000000008550000000,Non Residential,50,JOUBERT STREET,JOHANNESBURG,220034703,3002667204,63029984,KVA,1,70,13104,0
LPU-Demand  | LV,816,May,2019,505772753,ERF 4636 of JOHANNESBURG,T0IQ0183000000046360000000,Non Residential,16,FRASER STREET,JOHANNESBURG,220034799,3002667238,80395353,KWH,2,455044,298736,0
LPU-Demand  | LV,817,May,2019,505772753,ERF 4636 of JOHANNESBURG,T0IQ0183000000046360000000,Non Residential,16,FRASER STREET,JOHANNESBURG,220034799,3002667238,80395353,KVA,1,613,114754,0
LPU-Demand  | LV,818,May,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KRH,3,6087,1195,0
LPU-Demand  | LV,819,May,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KWH,2,365684,240072,0
LPU-Demand  | LV,820,May,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KVA,1,133,24898,0
LPU-Demand  | LV,821,May,2019,502092703,Portion 6 of ERF 98 of BOOYSEN ESTATE 98-IR,T0IR0000098000000980000600,Non Residential,55,HERONMERE ROAD,BOOYSENS,220035200,3003520003,83834493,KVA,1,201,37683,0
LPU-Demand  | LV,822,May,2019,502092703,Portion 6 of ERF 98 of BOOYSEN ESTATE 98-IR,T0IR0000098000000980000600,Non Residential,55,HERONMERE ROAD,BOOYSENS,220035200,3003520003,83834493,KWH,2,62000,40703,0
LPU-Demand  | LV,823,May,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KWH,2,59394,38992,0
LPU-Demand  | LV,824,May,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KRH,3,11919,2340,0
LPU-Demand  | LV,825,May,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KVA,1,242,45455,0
LPU-Demand  | LV,826,May,2019,502109636,Portion 2 of ERF 125 of BOOYSENS,T0IR0759000000001250000200,Non Residential,55,BOOYSENS ROAD,BOOYSENS,220042581,3002671644,99633079,KVA,1,73,13828,0
LPU-Demand  | LV,827,May,2019,502109636,Portion 2 of ERF 125 of BOOYSENS,T0IR0759000000001250000200,Non Residential,55,BOOYSENS ROAD,BOOYSENS,220042581,3002671644,99633079,KWH,2,23244,15260,0
LPU-Demand  | LV,828,May,2019,502109650,ERF 130 of BOOYSENS,T0IR0759000000001300000000,Non Residential,33,WEPENER STREET,BOOYSENS,220042616,3002671676,63038344,KWH,2,58450,38372,0
LPU-Demand  | LV,829,May,2019,502109650,ERF 130 of BOOYSENS,T0IR0759000000001300000000,Non Residential,33,WEPENER STREET,BOOYSENS,220042616,3002671676,63038344,KVA,1,172,32292,0
LPU-Demand  | LV,830,May,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042648,3002674698,99633076,KWH,2,17586,11545,0
LPU-Demand  | LV,831,May,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042648,3002674698,99633076,KVA,1,75,14040,0
LPU-Demand  | LV,832,May,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042655,3002674701,63021365,KVA,1,150,28080,0
LPU-Demand  | LV,833,May,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042655,3002674701,63021365,KWH,2,95844,62922,0
LPU-Demand  | LV,834,May,2019,502157661,ERF 152 of BOOYSENS,T0IR0759000000001520000000,Non Residential,19,PALMER STREET,BOOYSENS,220042704,3002674741,98452815,KVA,1,103,19319,0
LPU-Demand  | LV,835,May,2019,502157661,ERF 152 of BOOYSENS,T0IR0759000000001520000000,Non Residential,19,PALMER STREET,BOOYSENS,220042704,3002674741,98452815,KWH,2,57978,38063,0
LPU-Demand  | LV,836,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KWH,2,54112,35525,0
LPU-Demand  | LV,837,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KVA,1,114,21414,0
LPU-Demand  | LV,838,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KRH,3,537,105,0
LPU-Demand  | LV,839,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KRH,3,1807,355,0
LPU-Demand  | LV,840,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KVA,1,71,13334,0
LPU-Demand  | LV,841,May,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KWH,2,43168,28340,0
LPU-Demand  | LV,842,May,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KRH,3,2149,422,0
LPU-Demand  | LV,843,May,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KWH,2,10114,6640,0
LPU-Demand  | LV,844,May,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KVA,1,137,25814,0
LPU-Demand  | LV,845,May,2019,502192732,ERF 138 of NEWTOWN,T0IR0469000000001380000000,Non Residential,54,GWIGWI MRWEBI STREET,NEWTOWN,220043190,3002674517,207701528,KWH,2,12058,7916,0
LPU-Demand  | LV,846,May,2019,502192732,ERF 138 of NEWTOWN,T0IR0469000000001380000000,Non Residential,54,GWIGWI MRWEBI STREET,NEWTOWN,220043190,3002674517,207701528,KVA,1,70,13104,0
LPU-Demand  | LV,847,May,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KVA,1,70,13147,0
LPU-Demand  | LV,848,May,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KWH,2,36036,23658,0
LPU-Demand  | LV,849,May,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KRH,3,6127,1203,0
LPU-Demand  | LV,850,May,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KVA,1,1000,187200,0
LPU-Demand  | LV,851,May,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KWH,2,679632,446178,0
LPU-Demand  | LV,852,May,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KRH,3,48290,9479,0
LPU-Demand  | LV,853,May,2019,502196102,ERF 482 of NEWTOWN,T0IR0469000000004820000000,Non Residential,16,NORIA MABASA STREET,NEWTOWN,220043338,3002654206,98368193,KWH,2,3744,2458,0
LPU-Demand  | LV,854,May,2019,502196102,ERF 482 of NEWTOWN,T0IR0469000000004820000000,Non Residential,16,NORIA MABASA STREET,NEWTOWN,220043338,3002654206,98368193,KVA,1,70,13104,0
LPU-Demand  | LV,855,May,2019,502115559,ERF 578 of NEWTOWN,T0IR0469000000005780000000,Non Residential,190,LILLIAN NGOYI STREET,NEWTOWN,220043426,3002654285,63020777,KVA,1,70,13104,0
LPU-Demand  | LV,856,May,2019,502115559,ERF 578 of NEWTOWN,T0IR0469000000005780000000,Non Residential,190,LILLIAN NGOYI STREET,NEWTOWN,220043426,3002654285,63020777,KWH,2,62134,40791,0
LPU-Demand  | MV,857,May,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KWH,2,543496,334170,0
LPU-Demand  | MV,858,May,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KVA,1,800,139976,0
LPU-Demand  | MV,859,May,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KRH,3,78057,15323,0
LPU-Demand  | LV,860,May,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KWH,2,64334,42235,0
LPU-Demand  | LV,861,May,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KRH,3,3736,734,0
LPU-Demand  | LV,862,May,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KVA,1,163,30645,0
LPU-Demand  | LV,863,May,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KWH,2,36132,23721,0
LPU-Demand  | LV,864,May,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KRH,3,5913,1161,0
LPU-Demand  | LV,865,May,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KVA,1,117,22050,0
LPU-Demand  | LV,866,May,2019,502195360,Portion 290 of ERF 53 of BRAAMFONTEIN 53-IR,T0IR0000053000000530029000,Vacant Land,,,JOHANNESBURG,220044130,3003519705,63020645,KWH,2,79888,52446,0
LPU-Demand  | LV,867,May,2019,502195360,Portion 290 of ERF 53 of BRAAMFONTEIN 53-IR,T0IR0000053000000530029000,Vacant Land,,,JOHANNESBURG,220044130,3003519705,63020645,KVA,1,201,37695,0
LPU-Demand  | LV,868,May,2019,551854321,ERF 36 of CITY DEEP EXT.1,T0IR0135001000000360000000,Non Residential,7,ANGUS ROAD,CITY DEEP,220044290,3002671157,83834710,KWH,2,16510,10839,0
LPU-Demand  | LV,869,May,2019,551854321,ERF 36 of CITY DEEP EXT.1,T0IR0135001000000360000000,Non Residential,7,ANGUS ROAD,CITY DEEP,220044290,3002671157,83834710,KVA,1,110,20592,0
LPU-Demand  | LV,870,May,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KRH,3,74798,14683,0
LPU-Demand  | LV,871,May,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KVA,1,343,64359,0
LPU-Demand  | LV,872,May,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KWH,2,191722,125865,0
LPU-Demand  | LV,873,May,2019,502262306,ERF 43 of CITY DEEP EXT.1,T0IR0135001000000430000000,Non Residential,32,MERINO AVENUE,CITY DEEP,220044317,3002671167,84368358,KWH,2,412910,271075,0
LPU-Demand  | LV,874,May,2019,502262306,ERF 43 of CITY DEEP EXT.1,T0IR0135001000000430000000,Non Residential,32,MERINO AVENUE,CITY DEEP,220044317,3002671167,84368358,KVA,1,460,86112,0
LPU-Demand  | LV,875,May,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KVA,1,270,50619,0
LPU-Demand  | LV,876,May,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KWH,2,110722,72689,0
LPU-Demand  | LV,877,May,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KRH,3,26674,5236,0
LPU-Demand  | LV,878,May,2019,502285737,ERF 161 of CITY DEEP EXT.1,T0IR0135001000001610000000,Non Residential,20,MERINO AVENUE,CITY DEEP,220044469,3002676574,80395729,KVA,1,900,168480,0
LPU-Demand  | LV,879,May,2019,502285737,ERF 161 of CITY DEEP EXT.1,T0IR0135001000001610000000,Non Residential,20,MERINO AVENUE,CITY DEEP,220044469,3002676574,80395729,KWH,2,787574,517042,0
LPU-Demand  | LV,880,May,2019,502272551,ERF 164 of CITY DEEP EXT.1,T0IR0135001000001640000000,PSI,11,BONSMARA ROAD,CITY DEEP,220044476,3002671253,99632799,KWH,2,60490,39712,0
LPU-Demand  | LV,881,May,2019,502272551,ERF 164 of CITY DEEP EXT.1,T0IR0135001000001640000000,PSI,11,BONSMARA ROAD,CITY DEEP,220044476,3002671253,99632799,KVA,1,70,13104,0
LPU-Demand  | LV,882,May,2019,502284525,ERF 166 of CITY DEEP EXT.1,T0IR0135001000001660000000,Non Residential,83,MERINO AVENUE,CITY DEEP,220044483,3002671261,98368939,KWH,2,248022,162826,0
LPU-Demand  | LV,883,May,2019,502284525,ERF 166 of CITY DEEP EXT.1,T0IR0135001000001660000000,Non Residential,83,MERINO AVENUE,CITY DEEP,220044483,3002671261,98368939,KVA,1,164,30701,0
